回答url,页码,评论作者,作者性别,评论内容,作者主页,作者头像,评论时间,评论级别
https://www.zhihu.com/answer/930193847,1,颖拉123,女,恭喜恭喜 想沾沾喜气 <br>但是我不由自主想到了范进中举是怎么回事哈哈哈哈,https://www.zhihu.com/people/jiang-yao-31-37,https://picx.zhimg.com/v2-c9b87a83db5b35cf5327181f54f8e333.jpg?source=06d4cd63,2019-12-10 18:17:25,一级评论
https://www.zhihu.com/answer/930193847,1,银锭子,女,哈哈觉得你超级可爱，沾沾喜气,https://www.zhihu.com/people/nian-zhen-71,https://pic1.zhimg.com/v2-5b3027d8d1059206ed7a9763d8ba09d5.jpg?source=06d4cd63,2019-12-10 22:47:28,一级评论
https://www.zhihu.com/answer/930193847,1,皮卡丘,男,啊哈哈哈哈太可爱了恭喜🎉🎊,https://www.zhihu.com/people/a-yi-25-58,https://picx.zhimg.com/v2-749ba1134f2da441fa69ad31f26885e8.jpg?source=06d4cd63,2019-12-11 02:31:32,一级评论
https://www.zhihu.com/answer/930193847,1,Adam,未知,沾沾喜气 大一的我希望不挂科,https://www.zhihu.com/people/adam-47-53-23,https://pica.zhimg.com/v2-625d220754a4c24a90a731bfbd02c646.jpg?source=06d4cd63,2019-12-11 08:22:50,一级评论
https://www.zhihu.com/answer/930193847,1,很皮,男,明年考的我提前沾沾你的福气[爱],https://www.zhihu.com/people/zhe-tong-yilei-xing,https://pic1.zhimg.com/v2-39e3c3bb4a95809e4c5d9b83cde6c0c2.jpg?source=06d4cd63,2019-12-11 09:37:22,一级评论
https://www.zhihu.com/answer/930193847,1,陈晨,未知,咦，我中了!,https://www.zhihu.com/people/chen-chen-99-93-63,https://pica.zhimg.com/v2-1dc745ca9ab8a428f079afe4d919310d.jpg?source=06d4cd63,2019-12-11 09:50:03,一级评论
https://www.zhihu.com/answer/930193847,1,Azure,未知,<p>蹭喜气~</p>,https://www.zhihu.com/people/azure-80-85,https://pica.zhimg.com/v2-1602742a18d7395b160cc55a4774394e.jpg?source=06d4cd63,2019-12-10 23:37:44,一级评论
https://www.zhihu.com/answer/930193847,1,知乎用户,男,据说我当年出分，高了40多…<br><br>亲爹听说后拿起钱包就出去遛弯了…<br>见个乞讨的就捞几张红票递过去……<br><br>据说那晚发了有小两千……,https://www.zhihu.com/people/,https://pica.zhimg.com/da8e974dc.jpg?source=06d4cd63,2019-12-11 13:09:08,一级评论
https://www.zhihu.com/answer/930193847,1,知乎用户c7CXQR,女,我觉得高兴之余应该关注下为什么这么年轻会半夜起床尿尿。<br>再好的成绩，没有身体是不行的。,https://www.zhihu.com/people/xiao-yao-76-6,https://picx.zhimg.com/v2-abed1a8c04700ba7d72b45195223e0ff.jpg?source=06d4cd63,2019-12-11 11:16:31,一级评论
https://www.zhihu.com/answer/930193847,1,cnr,女,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈[飙泪笑],https://www.zhihu.com/people/cnr-96,https://picd.zhimg.com/v2-86a8b904a70885deeffde4facce4ea97.jpg?source=06d4cd63,2022-07-13 14:42:56,二级评论
https://www.zhihu.com/answer/930193847,1,feifeiBB,女,你要笑死我吗,https://www.zhihu.com/people/feifeibb-36,https://pica.zhimg.com/v2-2fdc4835dfe5b84cc4b5867da685d42a.jpg?source=06d4cd63,2022-10-21 20:20:28,二级评论
https://www.zhihu.com/answer/930193847,1,李小李,女,你怎么这么可爱，哈哈哈～看到这个回答我感觉好喜庆,https://www.zhihu.com/people/yu-zi-jiang-20-45,https://picx.zhimg.com/v2-d23fe7bc32b643c5202d62fb57cee1c0.jpg?source=06d4cd63,2019-12-11 09:44:48,一级评论
https://www.zhihu.com/answer/930193847,1,林一,女,恭喜嗷～,https://www.zhihu.com/people/lin-yi-95-59-65,https://picx.zhimg.com/v2-f685200c2214fac848f018df53967d84.jpg?source=06d4cd63,2019-12-10 22:42:17,一级评论
https://www.zhihu.com/answer/930193847,1,筝宁,女,沾沾喜气,https://www.zhihu.com/people/zheng-zhu-75-48,https://pic1.zhimg.com/v2-5dcdd7c89f5106809873ca00d9546f26.jpg?source=06d4cd63,2019-12-11 09:16:04,一级评论
https://www.zhihu.com/answer/930193847,1,浪漫人生路,未知,这种心情我一个专科学校的都能感受 记得前任还在一起的时候陪他考研初试复试 那一晚上据说复试成绩出来 硬是拉着我打王者陪他到凌晨 结果凌晨还不出来 又安慰他一直陪他到凌晨两三点一直没睡 让他睡了可是他睡不着迷糊中我都能感觉他在看手机 后来很幸运的是他考上了 虽然现在不在一起了但是还是希望他幸福 不知道他能不能看见[红心],https://www.zhihu.com/people/lang-man-ren-sheng-lu-67,https://pic1.zhimg.com/v2-4517bfc429aeeea5ae9239f9344efea2.jpg?source=06d4cd63,2020-02-24 12:47:33,一级评论
